net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,CRD,46.5248,12.1172,1.587,12,Cr,100,SL,123.661909383525,6.899364837759596
IT,CRG,46.2455,8.3335,0.54,14,Nsr,300,FL,204.661241034347,119.67754214926714
IT,CRI,44.7037,7.1543,1.573,15,Sr,100,SL,106.472985885573,18.021616342211573
IT,CRL,37.813,13.307,0.612,6,Ssr,100,SL,33.0076821936644,0.2428770689246975
IT,CRN,39.0777,17.1113,0.026,17,Ucr,100,SL,1.26832412284386,13.93335332336825
IT,CRO,43.2678,11.9805,0.372,6,Ssr,100,SL,101.799051313512,12.68254894910631
IT,CRP,44.7823,10.8703,0.089,3,Al,100,SL,107.325894442304,0.9514262110130216
IT,CRR,44.09,10.105,0.216,14,Nsr,100,SL,7.67088623586966,22.602843557954543
IT,CRV,40.7095,17.6522,0.152,12,Cr,220,PCL,6.79768827441264,46.58882482709
IT,CSA,43.008,12.5906,0.196,3,Al,100,SL,96.0301243411556,12.9944565111911
IT,CSA7,40.1619,15.9908,1.018,18,Ssr,100,SL,31.1487408085504,2.805210088905732
IT,CSAN,42.9003,13.1453,0.731,17,Ucr,230,GL,62.1830049911527,34.10993149712704
IT,CSC,42.719,13.0122,0.683,10,M,100,SL,76.3880527180749,19.979596612798133
IT,CSD,42.754,12.0035,0.494,17,Ucr,100,SL,59.4816412601249,7.936504281282568
IT,CSG,38.0171,12.8837,0.167,12,Cr,100,SL,1.10842437242819,21.70924333441266
IX,CSG3,40.8181,15.4633,1.253,6,Ssr,230,GL,56.3025173618189,78.90727122600451
IT,CSL,40.6323,16.9283,0.263,17,Ucr,100,SL,16.2736764805651,3.349834181921981
IT,CSM,37.5404,13.6273,0.8,5,E,210,ACL,28.9129554112318,27.01291349303233
IT,CSN,44.137,12.2414,0.095,6,Ssr,100,SL,14.9880479720885,22.12211562624176
IT,CSO1,42.1009,13.088,0.68,6,Ssr,100,SL,79.0862964662374,3.668466601638691
